suicides/100k pop,"Unemployment, total (% of total labor force) ",Average annual working hours per worker,Gini index (World Bank estimate),"Health expenditure, total (% of GDP)",Life satisfaction in Cantril Ladder (World Happiness Report 2021),UIS: Percentage of population age 25+ with at least completed post-secondary education (ISCED 4 or higher). Total,Single (never married),Married,Widowed and not remarried,Married but separated,Total surveyed for marital
1.6,,1979,,,,,,,,,
1.44,,1979,,,,,,,,,
1.13,,1979,,,,,,,,,
0.33,,1979,,,,,,,,,
0.31,,1979,,,,,,,,,
0.29,,1979,,,,,,,,,
10.39,,1969,,,,,,,,,
7.56,,1969,,,,,,,,,
6.17,,1969,,,,,,,,,
6.09,,1969,,,,,,,,,
5.23,,1969,,,,,,,,,
2.71,,1969,,,,,,,,,
1.41,,1969,,,,,,,,,
1.28,,1969,,,,,,,,,
1.07,,1969,,,,,,,,,
1.05,,1969,,,,,,,,,
0.29,,1969,,,,,,,,,
0.18,,1969,,,,,,,,,
7.84,10.12,1958.9745,,,,,,,,,
7.73,10.12,1958.9745,,,,,,,,,
7.34,10.12,1958.9745,,,,,,,,,
6.64,10.12,1958.9745,,,,,,,,,
5.73,10.12,1958.9745,,,,,,,,,
2.85,10.12,1958.9745,,,,,,,,,
1.8,10.12,1958.9745,,,,,,,,,
1.1,10.12,1958.9745,,,,,,,,,
1,10.12,1958.9745,,,,,,,,,
0.75,10.12,1958.9745,,,,,,,,,
0.57,10.12,1958.9745,,,,,,,,,
0.22,10.12,1958.9745,,,,,,,,,
9.35,9.44,1949,51.5,,,,,,,,
9.27,9.44,1949,51.5,,,,,,,,
8.59,9.44,1949,51.5,,,,,,,,
8.12,9.44,1949,51.5,,,,,,,,
5.88,9.44,1949,51.5,,,,,,,,
3.33,9.44,1949,51.5,,,,,,,,
1.77,9.44,1949,51.5,,,,,,,,
1.47,9.44,1949,51.5,,,,,,,,
0.46,9.44,1949,51.5,,,,,,,,
0.45,9.44,1949,51.5,,,,,,,,
0.43,9.44,1949,51.5,,,,,,,,
0.36,9.44,1949,51.5,,,,,,,,
9.87,7.8,1961.9569,,,,10.59619999,19368,116094,55700,,234139
9.12,7.8,1961.9569,,,,10.59619999,107132,716136,90902,,1232755
8.26,7.8,1961.9569,,,,10.59619999,2409335,148930,5527,,2979349
7.49,7.8,1961.9569,,,,10.59619999,854093,839289,9031,,2628628
6.75,7.8,1961.9569,,,,10.59619999,383681,1576937,39188,,3046859
3.03,7.8,1961.9569,,,,10.59619999,2080889,358800,16295,,3250765
1.72,7.8,1961.9569,,,,10.59619999,688240,1055933,45985,,2889905
1.19,7.8,1961.9569,,,,10.59619999,158432,499809,384575,,1316562
1.06,7.8,1961.9569,,,,10.59619999,422623,1483667,205598,,3221297
0.53,7.8,1961.9569,,,,10.59619999,,,,,
0.21,7.8,1961.9569,,,,10.59619999,,,,,
0,7.8,1961.9569,,,,10.59619999,35648,43991,167985,,277939
13.45,8.25,1975,,,,,,,,,
9.23,8.25,1975,,,,,,,,,
9.06,8.25,1975,,,,,,,,,
7.98,8.25,1975,,,,,,,,,
6.51,8.25,1975,,,,,,,,,
3.89,8.25,1975,,,,,,,,,
1.86,8.25,1975,,,,,,,,,
1.37,8.25,1975,,,,,,,,,
1.24,8.25,1975,,,,,,,,,
0.68,8.25,1975,,,,,,,,,
0.36,8.25,1975,,,,,,,,,
0.32,8.25,1975,,,,,,,,,
11.39,8.72,1970.2328,,6.75685008,,,,,,,
8.59,8.72,1970.2328,,6.75685008,,,,,,,
7.85,8.72,1970.2328,,6.75685008,,,,,,,
7.41,8.72,1970.2328,,6.75685008,,,,,,,
5.92,8.72,1970.2328,,6.75685008,,,,,,,
3.22,8.72,1970.2328,,6.75685008,,,,,,,
1.67,8.72,1970.2328,,6.75685008,,,,,,,
1.63,8.72,1970.2328,,6.75685008,,,,,,,
1.07,8.72,1970.2328,,6.75685008,,,,,,,
0.35,8.72,1970.2328,,6.75685008,,,,,,,
0.3,8.72,1970.2328,,6.75685008,,,,,,,
0.24,8.72,1970.2328,,6.75685008,,,,,,,
13.26,11.81,1965.4771,56.9,8.16065798,,,,,,,
9.44,11.81,1965.4771,56.9,8.16065798,,,,,,,
7.79,11.81,1965.4771,56.9,8.16065798,,,,,,,
6.91,11.81,1965.4771,56.9,8.16065798,,,,,,,
6.91,11.81,1965.4771,56.9,8.16065798,,,,,,,
3.31,11.81,1965.4771,56.9,8.16065798,,,,,,,
1.74,11.81,1965.4771,56.9,8.16065798,,,,,,,
1.09,11.81,1965.4771,56.9,8.16065798,,,,,,,
0.98,11.81,1965.4771,56.9,8.16065798,,,,,,,
0.85,11.81,1965.4771,56.9,8.16065798,,,,,,,
0.48,11.81,1965.4771,56.9,8.16065798,,,,,,,
0.41,11.81,1965.4771,56.9,8.16065798,,,,,,,
13.05,12.14,1960.7328,,8.95554088,,,,,,,
8.67,12.14,1960.7328,,8.95554088,,,,,,,
8.34,12.14,1960.7328,,8.95554088,,,,,,,
7.38,12.14,1960.7328,,8.95554088,,,,,,,
5.99,12.14,1960.7328,,8.95554088,,,,,,,
3.15,12.14,1960.7328,,8.95554088,,,,,,,
2.08,12.14,1960.7328,,8.95554088,,,,,,,
1.36,12.14,1960.7328,,8.95554088,,,,,,,
1.08,12.14,1960.7328,,8.95554088,,,,,,,
0.82,12.14,1960.7328,,8.95554088,,,,,,,
0.44,12.14,1960.7328,,8.95554088,,,,,,,
0.41,12.14,1960.7328,,8.95554088,,,,,,,
18.79,15,1956,,8.72644655,,,,,,,
13.16,15,1956,,8.72644655,,,,,,,
13.09,15,1956,,8.72644655,,,,,,,
12.21,15,1956,,8.72644655,,,,,,,
9.19,15,1956,,8.72644655,,,,,,,
6.52,15,1956,,8.72644655,,,,,,,
2.87,15,1956,,8.72644655,,,,,,,
2.02,15,1956,,8.72644655,,,,,,,
1.12,15,1956,,8.72644655,,,,,,,
1.11,15,1956,,8.72644655,,,,,,,
0.82,15,1956,,8.72644655,,,,,,,
0.78,15,1956,,8.72644655,,,,,,,
18.83,20.06,1956,58.7,8.67188966,,,,,,,
15.1,20.06,1956,58.7,8.67188966,,,,,,,
12.87,20.06,1956,58.7,8.67188966,,,,,,,
12.54,20.06,1956,58.7,8.67188966,,,,,,,
10.04,20.06,1956,58.7,8.67188966,,,,,,,
6.22,20.06,1956,58.7,8.67188966,,,,,,,
2.86,20.06,1956,58.7,8.67188966,,,,,,,
1.98,20.06,1956,58.7,8.67188966,,,,,,,
1.09,20.06,1956,58.7,8.67188966,,,,,,,
1.01,20.06,1956,58.7,8.67188966,,,,,,,
0.8,20.06,1956,58.7,8.67188966,,,,,,,
0.76,20.06,1956,58.7,8.67188966,,,,,,,
20.66,20.52,1956,58.7,5.90658511,,,,,,,
15.73,20.52,1956,58.7,5.90658511,,,,,,,
13.28,20.52,1956,58.7,5.90658511,,,,,,,
13.23,20.52,1956,58.7,5.90658511,,,,,,,
10.31,20.52,1956,58.7,5.90658511,,,,,,,
6.68,20.52,1956,58.7,5.90658511,,,,,,,
2.82,20.52,1956,58.7,5.90658511,,,,,,,
2.1,20.52,1956,58.7,5.90658511,,,,,,,
1.46,20.52,1956,58.7,5.90658511,,,,,,,
1.35,20.52,1956,58.7,5.90658511,,,,,,,
1.32,20.52,1956,58.7,5.90658511,,,,,,,
0.84,20.52,1956,58.7,5.90658511,,,,,,,
17.76,15.04,1956,57.5,5.96000372,,,,,,,
15.12,15.04,1956,57.5,5.96000372,,,,,,,
14.84,15.04,1956,57.5,5.96000372,,,,,,,
13.19,15.04,1956,57.5,5.96000372,,,,,,,
10.78,15.04,1956,57.5,5.96000372,,,,,,,
7.59,15.04,1956,57.5,5.96000372,,,,,,,
3.07,15.04,1956,57.5,5.96000372,,,,,,,
1.66,15.04,1956,57.5,5.96000372,,,,,,,
1.45,15.04,1956,57.5,5.96000372,,,,,,,
1.07,15.04,1956,57.5,5.96000372,,,,,,,
0.94,15.04,1956,57.5,5.96000372,,,,,,,
0.8,15.04,1956,57.5,5.96000372,,,,,,,
15.18,15.63,2032.2886,56,5.66898945,,,,,,,
14.37,15.63,2032.2886,56,5.66898945,,,,,,,
13.76,15.63,2032.2886,56,5.66898945,,,,,,,
11,15.63,2032.2886,56,5.66898945,,,,,,,
10.32,15.63,2032.2886,56,5.66898945,,,,,,,
7.34,15.63,2032.2886,56,5.66898945,,,,,,,
2.68,15.63,2032.2886,56,5.66898945,,,,,,,
1.6,15.63,2032.2886,56,5.66898945,,,,,,,
1.53,15.63,2032.2886,56,5.66898945,,,,,,,
1.49,15.63,2032.2886,56,5.66898945,,,,,,,
1.21,15.63,2032.2886,56,5.66898945,,,,,,,
0.9,15.63,2032.2886,56,5.66898945,,,,,,,
14.97,14.19,2016.2488,53.6,5.92269295,,,,,,,
13.99,14.19,2016.2488,53.6,5.92269295,,,,,,,
12.61,14.19,2016.2488,53.6,5.92269295,,,,,,,
12.26,14.19,2016.2488,53.6,5.92269295,,,,,,,
9.05,14.19,2016.2488,53.6,5.92269295,,,,,,,
7.38,14.19,2016.2488,53.6,5.92269295,,,,,,,
2.7,14.19,2016.2488,53.6,5.92269295,,,,,,,
1.84,14.19,2016.2488,53.6,5.92269295,,,,,,,
1.79,14.19,2016.2488,53.6,5.92269295,,,,,,,
1.3,14.19,2016.2488,53.6,5.92269295,,,,,,,
1.15,14.19,2016.2488,53.6,5.92269295,,,,,,,
0.81,14.19,2016.2488,53.6,5.92269295,,,,,,,
21.91,13.72,2004.2563,55,5.37077635,,,,,,,
13.04,13.72,2004.2563,55,5.37077635,,,,,,,
12.5,13.72,2004.2563,55,5.37077635,,,,,,,
11.7,13.72,2004.2563,55,5.37077635,,,,,,,
9.27,13.72,2004.2563,55,5.37077635,,,,,,,
6.03,13.72,2004.2563,55,5.37077635,,,,,,,
2.62,13.72,2004.2563,55,5.37077635,,,,,,,
1.89,13.72,2004.2563,55,5.37077635,,,,,,,
1.58,13.72,2004.2563,55,5.37077635,,,,,,,
1.42,13.72,2004.2563,55,5.37077635,,,,,,,
1.3,13.72,2004.2563,55,5.37077635,,,,,,,
0.99,13.72,2004.2563,55,5.37077635,,,,,,,
18.12,11.87,2013.9287,53.9,5.8158366,,,80274,411689,209240,,864193
12.28,11.87,2013.9287,53.9,5.8158366,,,6208564,138409,5937,,7399731
11.89,11.87,2013.9287,53.9,5.8158366,,,444443,1970626,217983,,3926407
10.24,11.87,2013.9287,53.9,5.8158366,,,2215206,1112246,9641,,5929426
8.43,11.87,2013.9287,53.9,5.8158366,,,1536583,3697044,71395,,9291067
5.48,11.87,2013.9287,53.9,5.8158366,,,5294121,364773,17726,,7621988
2.65,11.87,2013.9287,53.9,5.8158366,,,1871364,1537933,63553,,6405972
1.58,11.87,2013.9287,53.9,5.8158366,,,1832060,3794402,445183,,10224826
1.26,11.87,2013.9287,53.9,5.8158366,,,625668,1614087,1008670,,4412191
1.21,11.87,2013.9287,53.9,5.8158366,,,,,,,
1.02,11.87,2013.9287,53.9,5.8158366,,,133377,202888,646774,,1101149
0.68,11.87,2013.9287,53.9,5.8158366,,,,,,,
21.46,11.53,2036.0232,,6.1117047,6.025,,,,,,
12.32,11.53,2036.0232,,6.1117047,6.025,,,,,,
11.68,11.53,2036.0232,,6.1117047,6.025,,,,,,
10.96,11.53,2036.0232,,6.1117047,6.025,,,,,,
8.61,11.53,2036.0232,,6.1117047,6.025,,,,,,
4.77,11.53,2036.0232,,6.1117047,6.025,,,,,,
2.69,11.53,2036.0232,,6.1117047,6.025,,,,,,
1.6,11.53,2036.0232,,6.1117047,6.025,,,,,,
1.48,11.53,2036.0232,,6.1117047,6.025,,,,,,
1.08,11.53,2036.0232,,6.1117047,6.025,,,,,,
0.98,11.53,2036.0232,,6.1117047,6.025,,,,,,
0.78,11.53,2036.0232,,6.1117047,6.025,,,,,,
17.71,11.2,2058.3601,,6.25336641,6.138,,,,,,
12.14,11.2,2058.3601,,6.25336641,6.138,,,,,,
11.61,11.2,2058.3601,,6.25336641,6.138,,,,,,
11.51,11.2,2058.3601,,6.25336641,6.138,,,,,,
8.85,11.2,2058.3601,,6.25336641,6.138,,,,,,
5.02,11.2,2058.3601,,6.25336641,6.138,,,,,,
2.89,11.2,2058.3601,,6.25336641,6.138,,,,,,
1.43,11.2,2058.3601,,6.25336641,6.138,,,,,,
0.98,11.2,2058.3601,,6.25336641,6.138,,,,,,
0.87,11.2,2058.3601,,6.25336641,6.138,,,,,,
0.68,11.2,2058.3601,,6.25336641,6.138,,,,,,
0.56,11.2,2058.3601,,6.25336641,6.138,,,,,,
17.57,11.27,2080.9419,55.3,6.61993597,6.168,,,,,,
11.79,11.27,2080.9419,55.3,6.61993597,6.168,,,,,,
11.45,11.27,2080.9419,55.3,6.61993597,6.168,,,,,,
11.24,11.27,2080.9419,55.3,6.61993597,6.168,,,,,,
9.34,11.27,2080.9419,55.3,6.61993597,6.168,,,,,,
4.96,11.27,2080.9419,55.3,6.61993597,6.168,,,,,,
2.29,11.27,2080.9419,55.3,6.61993597,6.168,,,,,,
1.4,11.27,2080.9419,55.3,6.61993597,6.168,,,,,,
1.12,11.27,2080.9419,55.3,6.61993597,6.168,,,,,,
1.1,11.27,2080.9419,55.3,6.61993597,6.168,,,,,,
1.06,11.27,2080.9419,55.3,6.61993597,6.168,,,,,,
0.9,11.27,2080.9419,55.3,6.61993597,6.168,,,,,,
17.74,12.07,2049.5647,54.3,7.01240715,6.272,,,,,,
11.47,12.07,2049.5647,54.3,7.01240715,6.272,,,,,,
11.32,12.07,2049.5647,54.3,7.01240715,6.272,,,,,,
11.26,12.07,2049.5647,54.3,7.01240715,6.272,,,,,,
9.31,12.07,2049.5647,54.3,7.01240715,6.272,,,,,,
4.98,12.07,2049.5647,54.3,7.01240715,6.272,,,,,,
1.9,12.07,2049.5647,54.3,7.01240715,6.272,,,,,,
1.79,12.07,2049.5647,54.3,7.01240715,6.272,,,,,,
1.46,12.07,2049.5647,54.3,7.01240715,6.272,,,,,,
1.29,12.07,2049.5647,54.3,7.01240715,6.272,,,,,,
0.79,12.07,2049.5647,54.3,7.01240715,6.272,,,,,,
0.52,12.07,2049.5647,54.3,7.01240715,6.272,,,,,,
15.54,10.98,2039.0653,54.6,6.75752454,6.408,,,,,,
11.54,10.98,2039.0653,54.6,6.75752454,6.408,,,,,,
11.23,10.98,2039.0653,54.6,6.75752454,6.408,,,,,,
9.63,10.98,2039.0653,54.6,6.75752454,6.408,,,,,,
8.2,10.98,2039.0653,54.6,6.75752454,6.408,,,,,,
4.5,10.98,2039.0653,54.6,6.75752454,6.408,,,,,,
2.03,10.98,2039.0653,54.6,6.75752454,6.408,,,,,,
1.19,10.98,2039.0653,54.6,6.75752454,6.408,,,,,,
0.98,10.98,2039.0653,54.6,6.75752454,6.408,,,,,,
0.97,10.98,2039.0653,54.6,6.75752454,6.408,,,,,,
0.84,10.98,2039.0653,54.6,6.75752454,6.408,,,,,,
0.59,10.98,2039.0653,54.6,6.75752454,6.408,,,,,,
13.75,10.11,2040.173,53.5,6.63578902,6.464,,,,,,
10.54,10.11,2040.173,53.5,6.63578902,6.464,,,,,,
9.95,10.11,2040.173,53.5,6.63578902,6.464,,,,,,
9.45,10.11,2040.173,53.5,6.63578902,6.464,,,,,,
8.67,10.11,2040.173,53.5,6.63578902,6.464,,,,,,
3.83,10.11,2040.173,53.5,6.63578902,6.464,,,,,,
1.77,10.11,2040.173,53.5,6.63578902,6.464,,,,,,
1.41,10.11,2040.173,53.5,6.63578902,6.464,,,,,,
1.03,10.11,2040.173,53.5,6.63578902,6.464,,,,,,
0.98,10.11,2040.173,53.5,6.63578902,6.464,,,,,,
0.85,10.11,2040.173,53.5,6.63578902,6.464,,,,,,
0.65,10.11,2040.173,53.5,6.63578902,6.464,,,,,,
15.21,9.74,2021.057,52.6,6.93347013,6.375,17.07996941,,,,,
11.42,9.74,2021.057,52.6,6.93347013,6.375,17.07996941,,,,,
10.59,9.74,2021.057,52.6,6.93347013,6.375,17.07996941,,,,,
10.41,9.74,2021.057,52.6,6.93347013,6.375,17.07996941,,,,,
7.78,9.74,2021.057,52.6,6.93347013,6.375,17.07996941,,,,,
3.65,9.74,2021.057,52.6,6.93347013,6.375,17.07996941,,,,,
1.85,9.74,2021.057,52.6,6.93347013,6.375,17.07996941,,,,,
1.39,9.74,2021.057,52.6,6.93347013,6.375,17.07996941,,,,,
1.33,9.74,2021.057,52.6,6.93347013,6.375,17.07996941,,,,,
1.06,9.74,2021.057,52.6,6.93347013,6.375,17.07996941,,,,,
0.93,9.74,2021.057,52.6,6.93347013,6.375,17.07996941,,,,,
0.83,9.74,2021.057,52.6,6.93347013,6.375,17.07996941,,,,,
14.68,9.05,2000.6594,52.6,6.8432,6.607,18.5945797,,,,,
10.62,9.05,2000.6594,52.6,6.8432,6.607,18.5945797,,,,,
9.73,9.05,2000.6594,52.6,6.8432,6.607,18.5945797,,,,,
9.69,9.05,2000.6594,52.6,6.8432,6.607,18.5945797,,,,,
7.77,9.05,2000.6594,52.6,6.8432,6.607,18.5945797,,,,,
3.43,9.05,2000.6594,52.6,6.8432,6.607,18.5945797,,,,,
2.04,9.05,2000.6594,52.6,6.8432,6.607,18.5945797,,,,,
1.59,9.05,2000.6594,52.6,6.8432,6.607,18.5945797,,,,,
1.33,9.05,2000.6594,52.6,6.8432,6.607,18.5945797,,,,,
0.99,9.05,2000.6594,52.6,6.8432,6.607,18.5945797,,,,,
0.91,9.05,2000.6594,52.6,6.8432,6.607,18.5945797,,,,,
0.75,9.05,2000.6594,52.6,6.8432,6.607,18.5945797,,,,,
17.07,8.57,1991.9746,52.6,7.20129855,6.449,19.70504951,,,,,
11.38,8.57,1991.9746,52.6,7.20129855,6.449,19.70504951,,,,,
10.12,8.57,1991.9746,52.6,7.20129855,6.449,19.70504951,,,,,
9.96,8.57,1991.9746,52.6,7.20129855,6.449,19.70504951,,,,,
7.89,8.57,1991.9746,52.6,7.20129855,6.449,19.70504951,,,,,
3.23,8.57,1991.9746,52.6,7.20129855,6.449,19.70504951,,,,,
2.05,8.57,1991.9746,52.6,7.20129855,6.449,19.70504951,,,,,
1.34,8.57,1991.9746,52.6,7.20129855,6.449,19.70504951,,,,,
1.27,8.57,1991.9746,52.6,7.20129855,6.449,19.70504951,,,,,
0.9,8.57,1991.9746,52.6,7.20129855,6.449,19.70504951,,,,,
0.72,8.57,1991.9746,52.6,7.20129855,6.449,19.70504951,,,,,
0.69,8.57,1991.9746,52.6,7.20129855,6.449,19.70504951,,,,,
16.33,8.3,1997.748,51,,6.388,19.51996994,,,,,
11.27,8.3,1997.748,51,,6.388,19.51996994,,,,,
10.83,8.3,1997.748,51,,6.388,19.51996994,,,,,
9.49,8.3,1997.748,51,,6.388,19.51996994,,,,,
9.12,8.3,1997.748,51,,6.388,19.51996994,,,,,
4.32,8.3,1997.748,51,,6.388,19.51996994,,,,,
2.75,8.3,1997.748,51,,6.388,19.51996994,,,,,
1.46,8.3,1997.748,51,,6.388,19.51996994,,,,,
1.4,8.3,1997.748,51,,6.388,19.51996994,,,,,
1.34,8.3,1997.748,51,,6.388,19.51996994,,,,,
1.13,8.3,1997.748,51,,6.388,19.51996994,,,,,
0.96,8.3,1997.748,51,,6.388,19.51996994,,,,,
14.68,,,,,,,,,,,
14.61,,,,,,,,,,,
13.19,,,,,,,,,,,
11.55,,,,,,,,,,,
7.69,,,,,,,,,,,
2.91,,,,,,,,,,,
1.4,,,,,,,,,,,
1.39,,,,,,,,,,,
1.03,,,,,,,,,,,
0.66,,,,,,,,,,,
0.35,,,,,,,,,,,
0,,,,,,,,,,,
22.56,,,34.4,,,,,,,,
21.48,,,34.4,,,,,,,,
21.44,,,34.4,,,,,,,,
11.58,,,34.4,,,,,,,,
6.82,,,34.4,,,,,,,,
2.48,,,34.4,,,,,,,,
1.01,,,34.4,,,,,,,,
0.91,,,34.4,,,,,,,,
0.9,,,34.4,,,,,,,,
0.34,,,34.4,,,,,,,,
0.32,,,34.4,,,,,,,,
0,,,34.4,,,,,,,,
35.71,,2371.7446,,,,,,,,,
14.52,,2371.7446,,,,,15234,136106,2599,5484,182827
12.34,,2371.7446,,,,,67614,165062,498,2900,274652
7.17,,2371.7446,,,,,101002,27012,41,854,138357
7.16,,2371.7446,,,,,6013,53266,11780,3689,82296
3.48,,2371.7446,,,,,63384,175229,2254,11134,294025
2.37,,2371.7446,,,,,68571,47593,379,2339,135350
2.16,,2371.7446,,,,,24080,117561,11056,12425,185639
0.65,,2371.7446,,,,,,,,,
0,,2371.7446,,,,,12669,34103,28671,6554,86417
0,,2371.7446,,,,,,,,,
0,,2371.7446,,,,,,,,,
27.97,,2351.5657,,,,,,,,,
20.39,,2351.5657,,,,,13760,143359,1087,5831,190537
13.94,,2351.5657,,,,,9009,59491,10974,5236,92834
13.26,,2351.5657,,,,,69593,174078,893,3120,287873
6.98,,2351.5657,,,,,103563,23019,0,1199,135973
2.64,,2351.5657,,,,,69156,45864,265,2507,132808
2.54,,2351.5657,,,,,61359,187950,2395,10613,307234
1.26,,2351.5657,,,,,22617,125388,12665,13025,196463
0,,2351.5657,,,,,,,,,
0,,2351.5657,,,,,13730,37721,28858,7297,92800
0,,2351.5657,,,,,,,,,
0,,2351.5657,,,,,,,,,
19.31,,2313.1028,46.7,,,,73873,174670,368,3877,293417
17.43,,2313.1028,46.7,,,,8403,65795,11313,4904,101100
15.15,,2313.1028,46.7,,,,15438,148350,1732,6612,193766
12.5,,2313.1028,46.7,,,,,,,,
7.85,,2313.1028,46.7,,,,103165,25639,0,896,139068
4.26,,2313.1028,46.7,,,,66934,45549,215,2417,130092
3.44,,2313.1028,46.7,,,,24871,128643,13451,15090,207392
2.79,,2313.1028,46.7,,,,66592,195427,2273,11281,321340
0.87,,2313.1028,46.7,,,,14320,41588,35286,6807,103502
0.6,,2313.1028,46.7,,,,,,,,
0.57,,2313.1028,46.7,,,,,,,,
0,,2313.1028,46.7,,,,,,,,
26.32,,2363.5396,45.3,,,,,,,,
17.75,,2363.5396,45.3,,,,18594,149606,1743,6803,207326
13.27,,2363.5396,45.3,,,,7879,66684,11873,5586,103145
11.9,,2363.5396,45.3,,,,102129,23420,0,1140,139124
11.61,,2363.5396,45.3,,,,78778,176322,286,5197,304496
4.2,,2363.5396,45.3,,,,,,,,
2.2,,2363.5396,45.3,,,,26436,132793,10627,18617,216079
1.77,,2363.5396,45.3,,,,67449,43314,194,2358,130015
1.68,,2363.5396,45.3,,,,13835,40170,37230,6815,103890
1.16,,2363.5396,45.3,,,,66878,195691,3802,12759,331574
1.12,,2363.5396,45.3,,,,,,,,
0.29,,2363.5396,45.3,,,,,,,,
14.19,5.37,2278.2588,46.6,,,,17822,155742,1977,5906,209603
13.68,5.37,2278.2588,46.6,,,,8659,70473,12582,5709,110257
11.31,5.37,2278.2588,46.6,,,,79781,175776,0,5029,303622
10.53,5.37,2278.2588,46.6,,,,,,,,
5.03,5.37,2278.2588,46.6,,,,99924,20857,0,1278,133522
3.5,5.37,2278.2588,46.6,,,,70394,39874,116,2457,129663
2.09,5.37,2278.2588,46.6,,,,26874,137255,13372,18754,225904
1.12,5.37,2278.2588,46.6,,,,74303,195827,3169,13943,336129
0.27,5.37,2278.2588,46.6,,,,,,,,
0,5.37,2278.2588,46.6,,,,,,,,
0,5.37,2278.2588,46.6,,,,16145,45179,37465,8084,114540
0,5.37,2278.2588,46.6,,,,,,,,
15.81,3.93,2364.5488,45.7,,,,,,,,
14.85,3.93,2364.5488,45.7,,,,,,,,
12.35,3.93,2364.5488,45.7,,,,,,,,
10.68,3.93,2364.5488,45.7,,,,,,,,
9.3,3.93,2364.5488,45.7,,,,,,,,
4.4,3.93,2364.5488,45.7,,,,,,,,
1.73,3.93,2364.5488,45.7,,,,,,,,
1.56,3.93,2364.5488,45.7,,,,,,,,
1.33,3.93,2364.5488,45.7,,,,,,,,
0.53,3.93,2364.5488,45.7,,,,,,,,
0,3.93,2364.5488,45.7,,,,,,,,
0,3.93,2364.5488,45.7,,,,,,,,
37.56,3.95,2352.4185,46,,,,,,,,
14.76,3.95,2352.4185,46,,,,20500,170507,3590,9018,236463
14.33,3.95,2352.4185,46,,,,8265,77150,11747,7021,115323
13.26,3.95,2352.4185,46,,,,94392,181520,488,5383,333483
8.5,3.95,2352.4185,46,,,,102814,18591,0,1614,134095
3.24,3.95,2352.4185,46,,,,78221,204012,2515,21645,363647
2.86,3.95,2352.4185,46,,,,25172,151181,13303,25880,247430
2.27,3.95,2352.4185,46,,,,16859,52182,41165,11333,129721
2.05,3.95,2352.4185,46,,,,66971,37417,41,3652,125598
0,3.95,2352.4185,46,,,,,,,,
0,3.95,2352.4185,46,,,,,,,,
0,3.95,2352.4185,46,,,,,,,,
22.42,4.05,2376.1067,46.8,,,,,,,,
13.18,4.05,2376.1067,46.8,,,,22978,173791,2980,9648,244217
12.38,4.05,2376.1067,46.8,,,,96120,185164,579,10099,345217
11.55,4.05,2376.1067,46.8,,,,9247,81959,14129,6814,123912
9.63,4.05,2376.1067,46.8,,,,98147,18409,48,1128,132799
3.35,4.05,2376.1067,46.8,,,,63279,32215,0,3933,118679
3.2,4.05,2376.1067,46.8,,,,72571,213460,2820,20197,370773
2.19,4.05,2376.1067,46.8,,,,17758,55837,41211,7892,131009
2.12,4.05,2376.1067,46.8,,,,27506,152394,14981,25703,255839
0.77,4.05,2376.1067,46.8,,,,,,,,
0,4.05,2376.1067,46.8,,,,,,,,
0,4.05,2376.1067,46.8,,,,,,,,
17.11,5.18,2350.7129,45.7,6.51231532,,,23537,179558,2189,8015,253032
14.68,5.18,2350.7129,45.7,6.51231532,,,93966,184283,281,7393,344601
13.54,5.18,2350.7129,45.7,6.51231532,,,9906,76964,13506,8806,121618
11.79,5.18,2350.7129,45.7,6.51231532,,,103332,21826,0,1650,141920
8.4,5.18,2350.7129,45.7,6.51231532,,,,,,,
4.03,5.18,2350.7129,45.7,6.51231532,,,65083,40983,38,3495,130186
3.08,5.18,2350.7129,45.7,6.51231532,,,32754,154254,14791,24222,265526
2.73,5.18,2350.7129,45.7,6.51231532,,,21955,49652,43972,8088,132931
2.36,5.18,2350.7129,45.7,6.51231532,,,76287,210322,2426,19251,369993
1.21,5.18,2350.7129,45.7,6.51231532,,,,,,,
0.25,5.18,2350.7129,45.7,6.51231532,,,,,,,
0,5.18,2350.7129,45.7,6.51231532,,,,,,,
27.1,6.16,2392.572,46.5,6.65078699,,,,,,,
19.98,6.16,2392.572,46.5,6.65078699,,,100630,186613,657,5941,355238
14.65,6.16,2392.572,46.5,6.65078699,,,101851,16883,0,1516,134468
12.46,6.16,2392.572,46.5,6.65078699,,,26330,185778,2137,8053,264406
12.15,6.16,2392.572,46.5,6.65078699,,,11032,84561,14259,9144,133811
3.52,6.16,2392.572,46.5,6.65078699,,,65335,36476,0,3681,127803
2.01,6.16,2392.572,46.5,6.65078699,,,79977,211076,1986,18027,377752
1.21,6.16,2392.572,46.5,6.65078699,,,19526,55918,49170,9713,144334
1.02,6.16,2392.572,46.5,6.65078699,,,33725,164094,15372,24039,280796
0.5,6.16,2392.572,46.5,6.65078699,,,,,,,
0.26,6.16,2392.572,46.5,6.65078699,,,,,,,
0,6.16,2392.572,46.5,6.65078699,,,,,,,
17.25,5.68,2371.2124,45.6,6.35054774,,,10291,13100,14563,10058,135765
16.14,5.68,2371.2124,45.6,6.35054774,,,,,,,
12.93,5.68,2371.2124,45.6,6.35054774,,,99887,57414,735,10568,353663
12.65,5.68,2371.2124,45.6,6.35054774,,,102452,12504,0,1009,138186
9.74,5.68,2371.2124,45.6,6.35054774,,,26877,38219,3242,11288,281285
4.34,5.68,2371.2124,45.6,6.35054774,,,69864,18918,310,4072,135986
2.47,5.68,2371.2124,45.6,6.35054774,,,,,,,
