suicides/100k pop,"Unemployment, total (% of total labor force) ",Average annual working hours per worker,Gini index (World Bank estimate),"Health expenditure, total (% of GDP)",Life satisfaction in Cantril Ladder (World Happiness Report 2021),UIS: Percentage of population age 25+ with at least completed post-secondary education (ISCED 4 or higher). Total,Single (never married),Married,Widowed and not remarried,Married but separated,Total surveyed for marital
3.32,16.54,,,6.00014389,,7.42787981,196445,73883,548,,271359
3.24,16.54,,,6.00014389,,7.42787981,12263,338887,14769,,370191
3.22,16.54,,,6.00014389,,7.42787981,662,23992,6260,,31044
3.16,16.54,,,6.00014389,,7.42787981,3086,134913,50297,,189799
1.87,16.54,,,6.00014389,,7.42787981,,,,,
1.8,16.54,,,6.00014389,,7.42787981,30741,187890,2496,,222771
0.65,16.54,,,6.00014389,,7.42787981,,,,,
12.9,16.61,,31.7,6.30011348,,,,,,,
11.15,16.61,,31.7,6.30011348,,,,,,,
9.16,16.61,,31.7,6.30011348,,,,,,,
6.56,16.61,,31.7,6.30011348,,,,,,,
5.7,16.61,,31.7,6.30011348,,,,,,,
5.07,16.61,,31.7,6.30011348,,,,,,,
4,16.61,,31.7,6.30011348,,,,,,,
3.13,16.61,,31.7,6.30011348,,,,,,,
2.11,16.61,,31.7,6.30011348,,,,,,,
2.09,16.61,,31.7,6.30011348,,,,,,,
0.33,16.61,,31.7,6.30011348,,,,,,,
0.31,16.61,,31.7,6.30011348,,,,,,,
12.22,16.61,,,6.26700723,,,,,,,
7.94,16.61,,,6.26700723,,,,,,,
7.25,16.61,,,6.26700723,,,,,,,
5.49,16.61,,,6.26700723,,,,,,,
4.93,16.61,,,6.26700723,,,,,,,
4.6,16.61,,,6.26700723,,,,,,,
4.38,16.61,,,6.26700723,,,,,,,
4.04,16.61,,,6.26700723,,,,,,,
3.41,16.61,,,6.26700723,,,,,,,
3.06,16.61,,,6.26700723,,,,,,,
1.28,16.61,,,6.26700723,,,,,,,
0,16.61,,,6.26700723,,,,,,,
11.26,16.52,,,6.37953469,,,,,,,
