suicides/100k pop,Unemployment,Average annual working hours per worker,Gini index,Health expenditure (% of GDP),Life satisfaction,% population age 25+ with at least completed post-secondary education,Single (never married),Married,Widowed and not remarried,Married but separated
36.9,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,83866,819136,49257,639
22.77,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,476686,202042,254,4
16.11,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,650386,10067,11,0
15.91,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,273239,961889,33472,338
15.73,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,60683,759986,183856,648
11.29,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,33878,179618,351280,178
8.48,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,385371,276485,1258,14
6.24,7.14,1559.6238,28.1,10.42349563,7.111,32.15628052,609206,33370,46,0
14.9,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,1068501,84894,872,13875
14.47,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,323141,374114,2222,43482
10.07,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,197334,776596,14044,87588
9.53,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,67770,414340,41234,42914
8.73,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,13305,90089,40454,6981
8.1,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,844393,159726,3363,43446
5.11,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,251975,446672,9609,83137
2.99,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,22966,50449,108263,7086
2.35,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,90140,346644,138455,57583
2.33,4.09,1827.7772,48.8,5.9021487,5.838,12.35519981,206924,775892,54301,139793
30.04,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,326960,840092,8434,53521
27.03,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,519803,207761,836,5864
26.68,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,576094,6381,194,431
20.55,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,113062,545482,37755,38866
11.82,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,38626,116622,45124,3094
6.99,15.35,1702.1769,32.9,8.14533747,7.007,37.79415131,481530,270893,1666,11593
